DR,A%,DF%,1stIn,1st%,2nd%
1.56,8.20%,0.90%,58.20%,82.80%,63.00%
1.1,8.50%,2.60%,64.10%,76.00%,52.40%
1.31,8.20%,3.10%,53.60%,78.80%,57.80%
1.72,8.60%,0.00%,64.30%,77.80%,52.00%
2.83,12.10%,1.70%,63.80%,86.50%,76.20%
1.33,8.00%,2.30%,58.00%,68.60%,64.90%
1.58,10.40%,2.10%,70.80%,73.50%,50.00%
0.82,11.40%,4.80%,63.80%,71.60%,44.70%
3.19,18.00%,2.00%,64.00%,90.60%,83.30%
0.38,10.80%,1.40%,66.20%,57.10%,48.00%
1.15,9.60%,1.90%,57.70%,83.30%,47.70%
0.89,12.70%,1.70%,60.20%,78.90%,55.30%
1.76,17.60%,3.90%,70.60%,88.90%,60.00%
1.51,13.10%,0.00%,58.30%,83.70%,60.00%
1.65,4.80%,2.40%,57.80%,85.40%,65.70%
1.08,4.20%,0.00%,72.90%,64.00%,50.00%
1.31,13.70%,5.50%,61.60%,82.20%,53.60%
1.96,9.10%,1.80%,69.10%,84.20%,70.60%
1.49,1.70%,0.00%,82.80%,72.90%,60.00%
1.46,11.30%,1.40%,80.30%,84.20%,57.10%
