A%,DF%,1stIn,1st%,2nd%
1.6,0.109,0.01,0.733,0.797
1.29,0.064,0.024,0.704,0.716
1.34,0.083,0.038,0.591,0.769
1.94,0.1,0.043,0.8,0.839
1.14,0.009,0.053,0.649,0.649
1.33,0.02,0.03,0.646,0.609
1.74,0.123,0.012,0.556,0.822
0.93,0.011,0.016,0.641,0.619
1.03,0.098,0,0.58,0.754
1.34,0.044,0.009,0.623,0.746
1.46,0.144,0.024,0.712,0.888
2.01,0.147,0.013,0.64,0.896
1.69,0.085,0,0.691,0.877
1.45,0.144,0.033,0.633,0.772
1.3,0.037,0.055,0.541,0.814
1.36,0.051,0.03,0.677,0.836
1.3,0.074,0.053,0.606,0.684
1.85,0.158,0.039,0.671,0.882
1.34,0.094,0.031,0.654,0.771
1.95,0.069,0,0.583,0.762
1.82,0.1,0.083,0.533,0.844
0.64,0.06,0.034,0.681,0.671
1.54,0.174,0.026,0.626,0.819
2.31,0.246,0.072,0.696,0.813
1.72,0.119,0,0.679,0.86
1.24,0.092,0,0.613,0.822
1.28,0.085,0.008,0.597,0.662
